uri,label
http://d.opencalais.com/pershash-1/4b6fd697-34cc-30c4-b3af-a9765a79d791,"she"->"Sonia Delaunay"
http://d.opencalais.com/pershash-1/4b6fd697-34cc-30c4-b3af-a9765a79d791,"Delaunay"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/cabec86b-1ef2-36a3-9afd-4b58b6e470a7,"Odessa"->"Odessa"
http://d.opencalais.com/genericHasher-1/8a279b90-2170-3e5f-a909-c3b49316d0df,"St Petersburg"->"St Petersburg"
http://d.opencalais.com/genericHasher-1/56fc901f-59a3-3278-addc-b0fc69b283e7,"Paris"->"Paris"
http://d.opencalais.com/genericHasher-1/56fc901f-59a3-3278-addc-b0fc69b283e7,"Paris"->"Paris"
http://d.opencalais.com/genericHasher-1/56fc901f-59a3-3278-addc-b0fc69b283e7,"Paris"->"Paris"
http://d.opencalais.com/genericHasher-1/56fc901f-59a3-3278-addc-b0fc69b283e7,"Paris"->"Paris"
http://d.opencalais.com/genericHasher-1/2e458a3d-9b69-33fb-9ce6-98ef05a4fe52,"the times Delaunay lived through"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/262b4961-0477-3bea-9312-cc8ba0d4a7b1,"Delaunay bridged"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/237a1b23-e7be-3efc-8d07-053612534c32,"She’d often wear"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/f073c9f9-93f4-31e7-a909-ff541bd73709,"She spent the Second World War"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/9699ee11-db81-317b-a3db-16e10b510fca,"She embraced fashion"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/777c7c2b-c8a8-3d64-a264-6a0a246463a7,"Delaunay get on"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/53e4116c-4d00-3ef3-adb7-d8c9c47f04a0,"she was a perpetual outsider"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/82c91d41-5fa0-32f6-acc6-1ca8fd39fce3,"She claimed her deep affinity for colour, moreover, stemmed from the “pure colours” of peasant weddings back in Ukraine."->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/1180c27a-ddb2-3a57-a6e5-04f995691388,"Robert died of cancer"->"Robert Delaunay"
http://d.opencalais.com/genericHasher-1/d03971b7-60a5-3b79-801b-90780b5cbd68,"Amsterdam’s Metz & Co seized on her fashion designs"->"Amsterdam’s Metz & Co"
http://d.opencalais.com/genericHasher-1/34969917-1896-3f29-ba9a-6fb601ac063f,"she designed in patchwork colours"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/fdcdd296-d75c-303a-b72e-4ba9a67e9fcd,"she always played down her own work"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/6d34a138-2c64-31b8-ab5f-21d348decda5,"she developed a theory"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/68edd6f2-efd3-30ac-8fe7-d39db4363015,"Her bleached yellow skin"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/084cf841-75c5-3dbf-812d-8be530b304b8,"She didn’t give up art"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/841008b6-fc79-307b-9aad-b52abd5266f2,"she decorated in the late Sixties"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/5c68f9c9-3ca0-3dc4-b7fe-e576bcfe2824,"she worked"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/b60c0bea-4a90-3f1e-9be6-4ac3de13e62a,"she rejected painting"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/ccc5251b-e2d1-3302-9042-0292f315fa92,"she needed an alternative means of funding"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/636bc105-0530-3a3a-bb9d-6e0729f9d54b,"Robert put it"->"Robert Delaunay"
http://d.opencalais.com/genericHasher-1/b325947f-91ce-3f5d-a5b1-229416f9962d,"It also saw Delaunay"->"Sonia Delaunay"
http://d.opencalais.com/genericHasher-1/57f4cef1-466c-36f3-a1ea-7b3583445570,"Delaunay had a privileged youth"->"Sonia Delaunay"
